model_name,grad,total_time,prepad,spec,mag,before mask,x device change,mask,ispec,x device change 2,xt + x
hdemucs_mmi,False,-2.2726399898529053,2.1457672119140625e-06,0.2467858791351319,0.2492609024047852,-3.0033700466156006,0.12682008743286124,0.006670951843261698,0.04227805137634269,0.005279064178466793,0.0213830471038818
hdemucs_mmi,True,-1.4367201328277588,4.76837158203125e-07,0.079566240310669,0.004485130310058601,-1.7050731182098389,0.10805416107177726,0.004816055297851601,0.009939670562744196,0.005310058593749988,0.0243363380432129
htdemucs,False,-13.045622110366821,8.106231689453125e-06,0.005324363708496101,0.0007984638214112,-2.422454833984375,0.19373607635498047,0.0048408508300781,0.03478598594665531,0.0014402866363524953,-0.0015742778778076
htdemucs,True,-10.400306940078735,1.1920928955078125e-05,0.0071182250976562994,0.0008690357208252001,-2.38511323928833,0.19362211227416987,0.0059609413146972,0.0205538272857666,0.0015840530395507,-0.0016119480133055999
htdemucs_6s,False,-12.693964004516602,1.3113021850585938e-05,0.0051827430725097,0.0009300708770752,-2.3402650356292725,0.21220183372497556,0.007450103759765601,0.018183946609497098,0.0031101703643798,-0.0026149749755859
htdemucs_6s,True,-12.01983380317688,9.298324584960938e-06,0.0089399814605713,0.0009226799011229999,-2.332720994949341,0.21225619316101066,0.005812883377075199,0.018044710159301695,0.002958059310913,-0.0025787353515625
htdemucs_ft,False,-51.26050901412964,6.914138793945311e-06,0.0059397220611572005,0.0008301734924317,-2.3477957248687744,0.19433665275573728,0.0042667388916016,0.033650398254394503,0.0013358592987059938,-0.0016157627105713001
htdemucs_ft,True,-51.52209281921387,9.059906005859375e-06,0.005204200744628899,0.0008730888366699001,-2.3888418674468994,0.19490671157836906,0.0050411224365234,0.036514759063720696,0.0012621879577635938,-0.0016191005706786999
mdx,False,-11.567428112030028,4.76837158203125e-07,0.046424150466918904,0.0046489238739014,-2.262214183807373,0.013834238052368155,0.0029819011688232006,0.012335062026977511,0.005455970764160094,0.021190881729126
mdx,True,-11.945777177810667,-2.384185791015625e-07,0.0378921031951905,0.0055482387542725,-3.2247002124786377,0.16684818267822266,0.0065581798553467005,-0.03286910057067871,0.004808902740478494,0.0078418254852295
mdx_extra,False,2.7537219524383545,0.0,0.08622694015502931,0.0046250820159912005,-2.1658809185028076,0.33883571624755854,0.0052528381347657,0.0706932544708252,0.005972862243652286,0.048680067062378
mdx_extra,True,-10.744713068008423,3.814697265625e-06,0.05494785308837889,0.0050382614135742,-1.3611478805541992,0.013393640518188447,0.0027203559875488004,0.07270574569702148,0.005749940872192293,0.0473690032958984
