model_name,device,total_time,grad,prepad,spec,mag,before mask,x device change,mask,ispec,x device change 2,xt + x
mdx,cpu,21.278057098388672,True,2.1457672119140625e-06,0.018767833709716797,0.003139019012451172,6.113930940628052,8.106231689453125e-06,0.012395858764648438,0.16759109497070312,9.5367431640625e-07,0.009134054183959961
mdx,mps,9.332279920578003,True,1.9073486328125e-06,0.05665993690490723,0.008687257766723633,2.889230728149414,0.1668562889099121,0.018954038619995117,0.13472199440002441,0.004809856414794922,0.016975879669189453
mdx,cpu,24.477864980697632,False,1.6689300537109375e-06,0.018723011016845703,0.003050088882446289,6.269879102706909,6.9141387939453125e-06,0.010277032852172852,0.12586092948913574,9.5367431640625e-07,0.007533073425292969
mdx,mps,12.910436868667603,False,2.1457672119140625e-06,0.06514716148376465,0.007699012756347656,4.007664918899536,0.01384115219116211,0.013258934020996094,0.13819599151611328,0.0054569244384765625,0.028723955154418945
htdemucs,cpu,17.1093487739563,True,7.152557373046875e-06,0.004514932632446289,0.0009949207305908203,2.7344770431518555,6.9141387939453125e-06,0.0021250247955322266,0.04346513748168945,0.0,0.0019359588623046875
htdemucs,mps,6.7090418338775635,True,1.9073486328125e-05,0.011633157730102539,0.0018639564514160156,0.3493638038635254,0.19362902641296387,0.008085966110229492,0.06401896476745605,0.0015840530395507812,0.00032401084899902344
htdemucs,cpu,17.095589876174927,False,8.106231689453125e-06,0.005141735076904297,0.0009913444519042969,2.7714948654174805,5.9604644775390625e-06,0.002048015594482422,0.04140615463256836,7.152557373046875e-07,0.0018842220306396484
htdemucs,mps,4.0499677658081055,False,1.621246337890625e-05,0.01046609878540039,0.0017898082733154297,0.34904003143310547,0.193742036819458,0.006888866424560547,0.07619214057922363,0.0014410018920898438,0.00030994415283203125
htdemucs_ft,cpu,67.49851894378662,True,7.867813110351562e-06,0.00507807731628418,0.0008947849273681641,2.738615036010742,5.9604644775390625e-06,0.0021560192108154297,0.04004406929016113,9.5367431640625e-07,0.0019140243530273438
htdemucs_ft,mps,15.976426124572754,True,1.6927719116210938e-05,0.010282278060913086,0.001767873764038086,0.3497731685638428,0.19491267204284668,0.007197141647338867,0.07655882835388184,0.0012631416320800781,0.0002949237823486328
htdemucs_ft,cpu,67.07226586341858,False,9.059906005859375e-06,0.0050201416015625,0.0009119510650634766,2.694260835647583,5.245208740234375e-06,0.002068042755126953,0.0397188663482666,9.5367431640625e-07,0.001889944076538086
htdemucs_ft,mps,15.81175684928894,False,1.5974044799804688e-05,0.010959863662719727,0.0017421245574951172,0.3464651107788086,0.19434189796447754,0.006334781646728516,0.07336926460266113,0.001336812973022461,0.0002741813659667969
htdemucs_6s,cpu,16.628288984298706,True,8.821487426757812e-06,0.00498199462890625,0.0008702278137207031,2.649106979370117,4.76837158203125e-06,0.003091096878051758,0.060746192932128906,0.0,0.0028607845306396484
htdemucs_6s,mps,4.608455181121826,True,1.811981201171875e-05,0.013921976089477539,0.00179290771484375,0.31638598442077637,0.21226096153259277,0.008903980255126953,0.07879090309143066,0.002958059310913086,0.00028204917907714844
htdemucs_6s,cpu,16.737872838974,False,5.9604644775390625e-06,0.007207155227661133,0.00096893310546875,2.6566898822784424,6.198883056640625e-06,0.003103017807006836,0.06203293800354004,0.0,0.0028989315032958984
htdemucs_6s,mps,4.0439088344573975,False,1.9073486328125e-05,0.012389898300170898,0.0018990039825439453,0.3164248466491699,0.21220803260803223,0.010553121566772461,0.08021688461303711,0.003110170364379883,0.00028395652770996094
hdemucs_mmi,cpu,6.5974440574646,True,2.1457672119140625e-06,0.01853489875793457,0.0030078887939453125,6.380247116088867,6.9141387939453125e-06,0.011713981628417969,0.13982415199279785,1.9073486328125e-06,0.007181882858276367
hdemucs_mmi,mps,5.160723924636841,True,2.6226043701171875e-06,0.09810113906860352,0.007493019104003906,4.675173997879028,0.10806107521057129,0.01653003692626953,0.149763822555542,0.0053119659423828125,0.03151822090148926
hdemucs_mmi,cpu,7.8486950397491455,False,1.9073486328125e-06,0.02285313606262207,0.004617929458618164,7.623377084732056,7.867813110351562e-06,0.012488126754760742,0.1383519172668457,9.5367431640625e-07,0.008321046829223633
hdemucs_mmi,mps,5.57605504989624,False,4.0531158447265625e-06,0.2696390151977539,0.2538788318634033,4.620007038116455,0.12682795524597168,0.01915907859802246,0.18062996864318848,0.005280017852783203,0.02970409393310547
mdx_extra,cpu,27.086963891983032,True,1.9073486328125e-06,0.018491268157958984,0.0041828155517578125,6.0615739822387695,8.106231689453125e-06,0.011752843856811523,0.13865113258361816,1.1920928955078125e-06,0.0075299739837646484
mdx_extra,mps,16.34225082397461,True,5.7220458984375e-06,0.07343912124633789,0.009221076965332031,4.70042610168457,0.01340174674987793,0.014473199844360352,0.21135687828063965,0.005751132965087891,0.054898977279663086
mdx_extra,cpu,28.313849925994873,False,2.1457672119140625e-06,0.017902135848999023,0.0035657882690429688,6.079215049743652,9.059906005859375e-06,0.011900186538696289,0.14295458793640137,2.1457672119140625e-06,0.010053157806396484
mdx_extra,mps,31.067571878433228,False,2.1457672119140625e-06,0.10412907600402832,0.00819087028503418,3.9133341312408447,0.33884477615356445,0.017153024673461914,0.21364784240722656,0.005975008010864258,0.058733224868774414
